1,1181931
2,233890
3,125266
4,57319
5,32131
6,17450
7,10322
8,7307
9,4401
10,3508
11,4134
12,1757
13,1726
14,1184
15,1296
16,636
17,621
18,425
19,552
20,441
21,331
22,319
23,178
24,176
25,155
26,132
27,132
28,139
29,135
30,94
31,78
32,86
33,97
34,91
35,103
36,37
37,33
38,34
39,36
40,29
41,47
42,39
43,32
44,35
45,34
46,20
47,16
48,25
49,19
50,25
51,18
52,13
53,11
54,8
55,17
56,17
57,6
58,8
59,15
60,18
61,14
62,19
63,6
64,14
65,13
66,4
67,4
68,4
69,15
70,13
71,6
72,4
73,6
74,2
75,4
76,2
77,3
78,4
79,7
80,4
81,3
83,6
84,6
85,2
87,3
88,1
89,5
90,9
91,4
92,4
93,1
94,3
95,3
97,3
98,3
100,3
101,2
102,2
103,3
104,5
106,3
108,2
109,3
111,4
112,5
113,3
114,1
115,3
116,3
117,3
118,5
119,4
120,3
121,1
122,5
123,9
124,4
125,5
126,7
127,1
128,4
129,6
130,3
131,1
132,1
133,1
135,1
136,1
138,1
139,24
140,17
